OrgNr,name,revenue,profit,employees,Revenue_growth,EBIT_margin,NetProfit_margin
5592748551,1048 SVERIGE AB,15462,3191,4,-0.011064918452190597,0.20637692407191824,0.26109170870521275
5567910491,157 Logistics AB,20428,9363,0,0.7421115469895958,0.45834149206970826,0.5772469159976503
5590831094,1631 Recordings AB,20864,7305,2,0.09574076991754632,0.3501246165644172,0.44099884969325154
5564909512,2 Remmare AB,19706,1225,3,-0.06761296427726515,0.062163807977265804,0.07916370648533441
5592424641,21 Solutions AB,31084,3714,2,-0.09997973188175002,0.11948269206022391,0.13556813794878395
5593845877,247 Entreprenad AB,17479,1520,5,1.4480392156862747,0.08696149665312661,0.1105898506779564
5590580238,24Seven Vending Sweden AB,20404,593,8,0.09457647121935508,0.029062928837482845,0.03558125857674966
5568695885,2nd Planet Solutions AB,17468,968,3,-0.14815176046035305,0.055415617128463476,0.07024272956262881
5562206622,2printit AB,21886,2201,10,-0.0718405428329092,0.10056657223796034,0.12651923604130494
5590061957,365id AB,44405,4223,22,0.030780658789665516,0.09510190293885824,0.12154036707577975
5568990427,3A Tandvård AB,19903,2503,14,0.1788083392561004,0.12575993568808722,0.14947495352459428
5591986236,3L Schakt AB,60423,2617,23,-0.16924917162773434,0.0433113218476408,0.04405607136355361
5591008312,3Proffsen Plåt & Vent AB,19754,1206,9,-0.061032417530183514,0.061050926394654245,0.07790827174243191
5563745222,3VA-SÄKRARE Aktiebolag,29597,7995,6,0.33074052425700273,0.270128729263101,0.34189275940129066
5565713343,4fun i Falkenberg AB,24390,2224,4,-0.14252566446350723,0.09118491184911849,0.11631816318163182
5567134936,66 Kvadrat AB,20631,2269,22,-0.14677419354838706,0.1099801269933595,0.13925645872715817
5568057300,A & K Entreprenad AB,45484,4444,8,-0.250131891321551,0.09770468736258904,0.12430744877319497
5566842141,A & O Marmor & Granit AB,38578,2344,24,-0.1025241363266256,0.06076001866348696,0.07893099694126186
5566076120,A Catering Sweden AB,31162,569,18,0.2154614244480848,0.018259418522559526,0.023682690456325012
5564798436,A Teknik i Robertsfors AB,48573,1263,32,0.014579634464751967,0.026002099932061023,0.03588413316039775
5590399894,A&J Tak och Plåt AB,52296,2364,16,0.019792905754568046,0.04520422212023864,0.057748202539391155
5590890819,A&L All about meetings AB,18092,940,4,-0.11978203755959915,0.05195666592969268,0.068649126685828
5591418529,A&O Agribusiness AB,32601,2877,6,0.17084470622037062,0.08824882672310665,0.10404588816293979
5568762776,A-Antennas AB,45626,2788,0,0.4987845739438932,0.06110551001621882,0.07745583658440362
5561010058,A-Extrusion AB,103237,6084,36,0.1627228598137156,0.058932359522264305,0.07488594205565834
5593358129,A-L Väg & Vakt AB,107268,3372,99,-0.10416649268003442,0.03143528358876832,0.039909385837341986
5592801327,A-Liner AB,16144,1178,2,0.3383072204260964,0.07296828543111993,0.09248017839444996
5564100864,A-Plast Aktiebolag,88417,12774,28,0.03873355263157885,0.14447447888980625,0.1825780110159811
5592224017,A-WIP AB,81685,3282,28,1.5871789186963543,0.04017873538593377,0.05114770153638979
5567900922,A/B Sciex AB,24959,1151,7,0.32471737168940074,0.04611562963259746,0.05813534196081574
5593659500,A38 Evenemang & Matateljé AB,16438,1358,4,2.3656838656838657,0.08261345662489354,0.10493977369509673
5591275549,AA skolmat AB,18720,1683,11,0.4361334867663982,0.08990384615384615,0.11362179487179487
5567029326,AAA Certification AB,52093,11744,7,0.08083490673693383,0.22544295778703471,0.28426084118787553
5566770599,AAC Clyde Space AB,114837,7492,42,0.6218769860885531,0.06524029711678292,0.06524029711678292
5567932784,AB Batek,17263,1598,1-4,-0.15724467877367698,0.09256791982853502,0.117013265365232
5560736729,AB Fingal Jonsson & Söner AB,24773,3914,4,0.1375763420122147,0.15799459088523796,0.19957211480240586
5564121621,AB Golvinteriör,62728,6601,16,0.2252519728103759,0.10523211325086086,0.13332164264762147
5566182357,AB Helsingborgs Auktionskammare Eftr.,17142,1862,8,0.06857000374018196,0.10862209777155525,0.13808190409520477
5564929478,AB Hestra Markisfabrik,90637,9718,47,-0.1023284374411948,0.10721890618621534,0.13754868320884406
5567724785,AB Hässleholms Golfklubb,30694,698,9,0.3678253119429591,0.02274060076887991,0.029158793249495014
5565572590,AB Jönköpings Tandbolag,21237,2002,12,0.05368394939221033,0.09426943541931534,0.11917879173141216
5561076794,AB Kronqvists Åkeri,48954,1424,13,-0.10460373493314801,0.029088532091351066,0.03768844221105527
5561610329,AB Lindborg & Söner,111900,3833,29,0.32722894995908014,0.03425379803395889,0.0442627345844504
5566358601,AB Näsum Betonghåltagning,19999,1163,12,-0.04983846446218165,0.05815290764538227,0.07560378018900946
5567025696,AB Parts & Paomees,148153,12297,98,0.052694032130853996,0.08300203168346236,0.10608627567447167
5591784375,AB Pasi Bygg & Förvaltning,32265,893,6,0.369133497411525,0.02767704943437161,0.03533240353324035
5566740477,AB PaySystems Group Eu,17128,3433,6,-0.09862119776865597,0.20043204110228865,0.25408687529191964
5562589589,AB Provia Vägmärkning,64829,535,20,0.1058817508785097,0.008252479600178933,0.010813062055561554
5566582747,AB Sjuntorp Maskinteknik,39983,2811,21,-0.04356042483972822,0.07030487957381887,0.08943801115474076
5564499456,AB Stockholmstolkarna STAB,29903,1515,34,0.03014330990767533,0.05066381299535164,0.06440825335250644
